DESCRIPTION,CATEGORY_2,CATEGORY_1
"""Dear Team, the cheque book we requested is still not visible under the 'Cheque Book Request' option. Kindly investigate and provide an update.""",CC & OD A/c Query,Service Request
"""I have requested a cheque book twice, but it is still not visible. Kindly check and assist.""",CC & OD A/c Query,Service Request
"""The cheque book request option is still not showing up in the portal. Kindly look into this issue.""",CC & OD A/c Query,Service Request
"""Dear Team, after the recent system update, the joint holder names on the passbook are incorrectly displayed. Please assist in correcting this issue as soon as possible.""",Passbook Queries,Service Request
"""The passbook has incorrect details for the joint holders. Kindly help rectify the names as soon as possible.""",Passbook Queries,Service Request
"""I am seeing wrong names for joint holders in the passbook after the recent update. Kindly assist with the correction.""",Passbook Queries,Service Request
"""I am unable to delete signatures from the system. Kindly guide me through the correct process for deleting signatures.""",Savings A/c Query,Query
"""Dear Team, I’m unable to delete the saved signatures in the system. Kindly assist.""",Savings A/c Query,Query
"""Please guide me on how to delete signatures as I am unable to remove them from the system.""",Savings A/c Query,Query
"""Dear Team, I have submitted multiple requests for my credit card details but have not received any response yet. Kindly look into this matter.""",Credit Card Query,Service Request
"""My credit card application has not been processed yet. Kindly provide an update on the status.""",Credit Card Query,Service Request
"""Dear Team, I’m still waiting for my credit card details. Kindly check the status and provide an update.""",Credit Card Query,Service Request
"""I am unable to change my address in the system. Kindly assist me in updating my details.""",Address Update Query,Service Request
"""I’m trying to update my address details, but the system is not accepting the changes. Kindly assist me.""",Address Update Query,Service Request
"""Dear Team, I am unable to update my address information. Kindly help me with this request.""",Address Update Query,Service Request
"""My online banking app keeps freezing when I try to transfer funds. Kindly assist in resolving this issue.""",App Issues,Bug Report
"""The mobile banking app is constantly crashing when I try to make a transaction. Please assist in fixing this.""",App Issues,Bug Report
"""Dear Team, I am facing app crashes while trying to log in. Kindly help with this issue.""",App Issues,Bug Report
"""Dear Team, the details for my fixed deposit are not showing correctly in the system. Kindly assist in correcting this issue.""",Fixed Deposit Query,Service Request
"""The fixed deposit details are missing from my account information. Kindly assist in retrieving them.""",Fixed Deposit Query,Service Request
"""I cannot view my fixed deposit information after the recent update. Kindly check and assist with this.""",Fixed Deposit Query,Service Request
"""I’ve requested a new cheque book, but I still haven’t received it. Kindly look into this.""",Cheque Book Query,Service Request
"""Dear Team, I still haven’t received my cheque book. Kindly assist in processing the request.""",Cheque Book Query,Service Request
"""The cheque book request is pending. Kindly assist in processing it at your earliest convenience.""",Cheque Book Query,Service Request
"""Dear Team, I’m unable to view the transaction history on my savings account. Kindly check and assist with the issue.""",Transaction Query,Service Request
"""I cannot find my transaction history for the past month. Kindly assist in retrieving it.""",Transaction Query,Service Request
"""The system is not showing my transaction details for the last week. Kindly check and resolve the issue.""",Transaction Query,Service Request
"""The payment I attempted to make has failed. Kindly investigate the cause and help me resolve it.""",Payment Failure Query,Service Request
"""I was unable to process a payment earlier. Kindly assist in identifying the issue and fixing it.""",Payment Failure Query,Service Request
"""Dear Team, I am unable to complete a payment transaction. Please assist in resolving this.""",Payment Failure Query,Service Request
"""Dear Team, the system isn’t showing the updated balance after my last deposit. Kindly investigate.""",Balance Update Query,Service Request
"""I made a deposit yesterday, but my balance is still showing the old amount. Kindly help update it.""",Balance Update Query,Service Request
"""The system has not updated my balance after the recent deposit. Kindly assist in reflecting the correct amount.""",Balance Update Query,Service Request
"""I’m unable to access my account after the recent update. Kindly assist with recovering my login credentials.""",Login Issues,Service Request
"""Dear Team, after the update, I’m unable to log in to my account. Please guide me on how to regain access.""",Login Issues,Service Request
"""I’m unable to log in to my account after the recent update. Kindly assist with unlocking it.""",Login Issues,Service Request
"""Dear Team, I’ve been facing issues while applying for a loan. The form is not loading properly. Kindly assist.""",Loan Application Query,Service Request
"""I cannot access the loan application form on the portal. Kindly assist in resolving this issue.""",Loan Application Query,Service Request
"""I’m unable to submit the loan application form. Kindly assist with this issue.""",Loan Application Query,Service Request
"""I’m unable to reset my password through the app. Kindly guide me through the recovery process.""",Password Reset Query,Query
"""Dear Team, I tried to reset my password, but the reset link hasn’t arrived. Kindly assist in sending the link again.""",Password Reset Query,Query
